iter	MultiClass
0	1.042498533
1	0.9843468624
2	0.9261482055
3	0.8696999405
4	0.81708981
5	0.7802832684
6	0.7395775298
7	0.7004446008
8	0.6657365351
9	0.6384204685
10	0.6142754193
11	0.5866113016
12	0.5636154409
13	0.5365445034
14	0.5147498888
15	0.4956620023
16	0.4755979139
17	0.4590155071
18	0.441749485
19	0.4288047282
20	0.4183657637
21	0.4036667286
22	0.3898955842
23	0.3747690195
24	0.3608437196
25	0.3516497967
26	0.3401136856
27	0.329941213
28	0.3198092608
29	0.3093395152
30	0.3001075184
31	0.2916656143
32	0.2826007843
33	0.2757566781
34	0.2691153664
35	0.261123369
36	0.2544291984
37	0.2476796702
38	0.2400534769
39	0.2324323721
40	0.2277570751
41	0.2214116559
42	0.216416381
43	0.2104017421
44	0.2026051072
45	0.1976260631
46	0.1934757045
47	0.1887448319
48	0.184462227
49	0.1802024082
50	0.1766460246
51	0.1723690951
52	0.1683781482
53	0.1642173658
54	0.1608887829
55	0.1574175972
56	0.1535382732
57	0.1507553314
58	0.1477974412
59	0.1447933671
60	0.1407840482
61	0.1374624151
62	0.1347729628
63	0.1326722811
64	0.1287349615
65	0.1258920104
66	0.1236067963
67	0.1215480136
68	0.1197405064
69	0.1166422773
70	0.1154191406
71	0.1133373759
72	0.1102411975
73	0.1085662447
74	0.1064217219
75	0.1045351639
76	0.1032016219
77	0.1016138558
78	0.09996575197
79	0.09793232213
80	0.09639468139
81	0.09484986144
82	0.09324354153
83	0.09154936202
84	0.0901365811
85	0.08906703391
86	0.0880357476
87	0.08663043218
88	0.08541188057
89	0.0836229816
90	0.08267890781
91	0.08170011488
92	0.08068885471
93	0.07955617227
94	0.07819514947
95	0.07710413481
96	0.07625427139
97	0.0750457021
98	0.07406654322
99	0.07310133448
100	0.0721395766
101	0.07119945095
102	0.07015321239
103	0.06926216686
104	0.06860240203
105	0.06753282563
106	0.06667743488
107	0.06571166249
108	0.06485380049
109	0.06411571725
110	0.06333600068
111	0.06265383423
112	0.06200218776
113	0.06122394086
114	0.06037347289
115	0.05955535609
116	0.05894021994
117	0.05830723103
118	0.05769537815
119	0.05699895433
120	0.05631907683
121	0.05577003826
122	0.05520869989
123	0.0548343489
124	0.05423971193
125	0.05383685279
126	0.05350229251
127	0.05299737456
128	0.05245561591
129	0.05195008795
130	0.05141302591
131	0.0509804628
132	0.05053958641
133	0.0500512622
134	0.04933981034
135	0.04881909096
136	0.04835166282
137	0.04799001588
138	0.04760970469
139	0.0471756022
140	0.0467383383
141	0.04646055671
142	0.04608545615
143	0.04562489554
144	0.04523321928
145	0.04481401534
146	0.04439539528
147	0.04399992346
148	0.04366401497
149	0.04329236399
150	0.04291462933
151	0.04250201308
152	0.04219645113
153	0.04188437121
154	0.04151516732
155	0.04116357015
156	0.04074715446
157	0.04039893069
158	0.04008618564
159	0.03973567165
160	0.03939270092
161	0.03916248555
162	0.03887297707
163	0.0386829278
164	0.03851684036
165	0.03818312594
166	0.03788907594
167	0.03760191219
168	0.0372984457
169	0.03701861003
170	0.03673699935
171	0.036534887
172	0.03626398254
173	0.03599363855
174	0.03571747253
175	0.03546885466
176	0.03522373621
177	0.03498068183
178	0.03484558906
179	0.03459105715
180	0.03441396871
181	0.03423255547
182	0.03398868237
183	0.03374077832
184	0.03355831208
185	0.03334405832
186	0.03316523701
187	0.03294946648
188	0.03280294393
189	0.03265711148
190	0.032427486
191	0.03230643095
192	0.03207779812
193	0.03188807845
194	0.03170627656
195	0.03149896416
196	0.03127953829
197	0.03110008965
198	0.03092938248
199	0.03072109488
200	0.03051607285
201	0.03032022108
202	0.03013550135
203	0.02994623771
204	0.02974803258
205	0.02956258037
206	0.02939672392
207	0.02924398102
208	0.02905932312
209	0.02895575698
210	0.02882324653
211	0.02866982644
212	0.02850361277
213	0.02836029804
214	0.02824805348
215	0.02808203938
216	0.02790827195
217	0.02771839144
218	0.02755991156
219	0.02745198518
220	0.02730954931
221	0.02713143507
222	0.02701227078
223	0.0268761336
224	0.02671235252
225	0.02654975927
226	0.02638033475
227	0.02627829457
228	0.02610004986
229	0.02594736924
230	0.02584116204
231	0.0257204109
232	0.02559497215
233	0.02543343675
234	0.0253067759
235	0.02519125805
236	0.02507418693
237	0.02494150127
238	0.02484790701
239	0.02475718351
240	0.02461750068
241	0.02453539466
242	0.02441867413
243	0.02431209705
244	0.02424355535
245	0.0241443575
246	0.02402356017
247	0.02390666824
248	0.02379801047
249	0.02367451064
250	0.02355591437
251	0.0234361903
252	0.02332338529
253	0.02319364425
254	0.02307171362
255	0.02300749357
256	0.02289399158
257	0.02277830181
258	0.02267960429
259	0.02258413822
260	0.02248441329
261	0.02239276883
262	0.02229684079
263	0.0221631619
264	0.02207159456
265	0.02198139332
266	0.02190978841
267	0.0217804421
268	0.02169899069
269	0.021588806
270	0.02152079544
271	0.02141456185
272	0.02132234667
273	0.02122604997
274	0.02112796695
275	0.02105134911
276	0.02095798068
277	0.02083584528
278	0.02074096352
279	0.02065210069
280	0.02060156433
281	0.02051535248
282	0.02039373928
283	0.02032107974
284	0.02022869186
285	0.02011552312
286	0.02004400879
287	0.01995975752
288	0.01987315811
289	0.01979689715
290	0.0197148238
291	0.01963697185
292	0.01954220375
293	0.01947597585
294	0.01938750044
295	0.01933874664
296	0.01927741252
297	0.01919660775
298	0.01910681617
299	0.01901748291
300	0.01895637865
301	0.01887641288
302	0.01879851062
303	0.0187336881
304	0.01865823421
305	0.01858179359
306	0.01851089428
307	0.01844455606
308	0.01838149372
309	0.01832526526
310	0.01827824371
311	0.0182169471
312	0.01815128724
313	0.01808407083
314	0.01801657083
315	0.01794707142
316	0.01787610112
317	0.0178132529
318	0.01773641901
319	0.01766073018
320	0.01759021255
321	0.01753888198
322	0.01746371418
323	0.01741244047
324	0.01735934026
325	0.01728614192
326	0.01722881553
327	0.01718666303
328	0.01711387479
329	0.01705639002
330	0.01699929567
331	0.01694458858
332	0.01688805927
333	0.01683182962
334	0.01678440485
335	0.01672839363
336	0.01666582372
337	0.01659782683
338	0.01652962185
339	0.01647884809
340	0.01642302487
341	0.01636463018
342	0.01630293143
343	0.01624478599
344	0.01619234125
345	0.01613739631
346	0.01608839615
347	0.01603619585
348	0.01598022444
349	0.01592446517
350	0.01588818134
351	0.01583023634
352	0.01578023958
353	0.01572436171
354	0.01567082606
355	0.01563151894
356	0.01558236005
357	0.01553410987
358	0.01547740901
359	0.01542559252
360	0.01537810449
361	0.01532238282
362	0.01527247659
363	0.01523270006
364	0.01518751077
365	0.01513582823
366	0.01509612452
367	0.01505254158
368	0.01500848323
369	0.01496072356
370	0.01490763739
371	0.01485853124
372	0.01482017962
373	0.01477469164
374	0.01473914476
375	0.01471313091
376	0.01467768538
377	0.01463606379
378	0.01459747
379	0.01455453213
380	0.01450954772
381	0.01447602698
382	0.01442909927
383	0.01438467559
384	0.01433980103
385	0.01429871804
386	0.0142456328
387	0.01420162366
388	0.01416785512
389	0.01412913377
390	0.01409143259
391	0.01405355512
392	0.01400815982
393	0.01396379139
394	0.013928098
395	0.01389021645
396	0.01383868119
397	0.01379221871
398	0.01375602515
399	0.01371463181
400	0.01368474033
401	0.01363727381
402	0.01360453482
403	0.0135647661
404	0.01352887563
405	0.01349301936
406	0.01346387882
407	0.01341963833
408	0.01337804171
409	0.0133424391
410	0.01330932481
411	0.01327748247
412	0.01324233655
413	0.0132119434
414	0.01318498256
415	0.01314794315
416	0.01311471385
417	0.01308111981
418	0.01305020841
419	0.01301191735
420	0.01297357374
421	0.01292863476
422	0.01289116304
423	0.01285071089
424	0.01283212749
425	0.01279962338
426	0.01276687419
427	0.01272125833
428	0.01268123462
429	0.01265267942
430	0.01262091199
431	0.01259274631
432	0.01256421643
433	0.01253260819
434	0.01249703099
435	0.01246622881
436	0.01244168645
437	0.01241500904
438	0.01238540854
439	0.01235088243
440	0.0123221738
441	0.01228601701
442	0.01225690775
443	0.01222694751
444	0.01220135764
445	0.01216849491
446	0.01214272365
447	0.01211389244
448	0.01208130991
449	0.01204871179
450	0.01201517159
451	0.01197379804
452	0.01194451051
453	0.01191228395
