iter	Passed	Remaining
0	56	56424
1	57	28721
2	58	19537
3	58	14686
4	61	12197
5	62	10424
6	63	9029
7	64	7948
8	64	7142
9	65	6441
10	65	5881
11	66	5447
12	67	5112
13	67	4756
14	68	4465
15	68	4243
16	69	4009
17	70	3820
18	70	3626
19	70	3463
20	70	3304
21	71	3173
22	71	3051
23	72	2946
24	72	2833
25	72	2730
26	73	2664
27	74	2582
28	74	2498
29	74	2416
30	74	2343
31	75	2274
32	75	2208
33	75	2150
34	75	2092
35	77	2080
36	78	2044
37	78	1993
38	78	1945
39	79	1899
40	79	1869
41	80	1827
42	81	1813
43	81	1775
44	81	1735
45	82	1716
46	83	1688
47	83	1655
48	83	1628
49	84	1602
50	84	1577
51	85	1553
52	85	1530
53	87	1528
54	87	1511
55	88	1494
56	88	1470
57	89	1452
58	89	1429
59	89	1407
60	91	1401
61	91	1388
62	91	1367
63	92	1347
64	92	1326
65	92	1307
66	92	1289
67	93	1276
68	93	1267
69	94	1249
70	94	1232
71	94	1216
72	94	1200
73	94	1185
74	95	1180
75	96	1167
76	96	1157
77	97	1149
78	97	1136
79	97	1122
80	97	1110
81	98	1102
82	98	1093
83	99	1086
84	99	1074
85	100	1063
86	100	1054
87	100	1045
88	101	1034
89	101	1025
90	103	1031
91	103	1020
92	104	1017
93	104	1007
94	104	997
95	104	988
96	105	978
97	105	969
98	105	960
99	105	951
100	106	947
101	106	939
102	106	930
103	107	923
104	107	917
105	107	909
106	108	903
107	108	898
108	109	896
109	110	897
110	111	891
111	111	887
112	112	880
113	112	873
114	113	869
115	113	862
116	114	862
117	115	862
118	116	860
119	116	855
120	117	851
121	117	845
122	117	838
123	118	834
124	118	828
125	118	823
126	118	817
127	119	811
128	119	809
129	120	805
130	121	803
131	121	797
132	121	792
133	121	786
134	122	787
135	123	782
136	124	781
137	124	776
138	124	771
139	124	766
140	124	761
141	126	764
142	128	768
143	129	768
144	130	771
145	131	771
146	132	768
147	132	763
148	132	758
149	132	753
150	133	748
151	133	743
152	133	739
153	133	734
154	133	730
155	134	730
156	135	727
157	135	723
158	135	718
159	137	720
160	137	716
161	137	712
162	137	708
163	138	704
164	138	701
165	139	700
166	139	696
167	140	694
168	140	690
169	141	691
170	141	687
171	142	683
172	142	680
173	142	677
174	143	674
175	143	672
176	143	668
177	144	666
178	144	662
179	144	659
180	144	655
181	145	651
182	145	648
183	145	644
184	145	641
185	145	638
186	146	635
187	146	632
