iter	Logloss
0	0.6848954477
1	0.6758115842
2	0.6657486122
3	0.655970874	04	0.645599465	05	0.6361836095
6	0.6269664123
7	0.6175542432
8	0.6078454599
9	0.5998367318
10	0.5916442655
11	0.5824888167
12	0.5732295826
13	0.5624162473
14	0.5546546512
15	0.5475328308
16	0.5386184626
17	0.5312072022
18	0.5234844765
19	0.5154653058
20	0.5092556396
21	0.5023093168
22	0.4935131013
23	0.4869654551
24	0.4802741504
25	0.4733327386
26	0.4659165522
27	0.4569730168
28	0.450761647
29	0.4439253176
30	0.4367967653
31	0.429687832	0.418175812
33	0.4115930339
34	0.4055354926
35	0.3999517542
36	0.3934368297
37	0.387756196
38	0.3826917672
39	0.3774891556
40	0.3734630188
41	0.3678587354
42	0.3623676628
43	0.3579701739
44	0.3519401695
45	0.3471463739
46	0.3423486295
47	0.338082805
48	0.3321660878
49	0.3287479727
50	0.3218930386
51	0.3171474774
52	0.3116725618
53	0.3076090264
54	0.54	0.3055198194
55	0.3012829961
56	0.297839619
57	0.2942515135
58	0.2903126617
59	0.2876626632
60	0.283644177
61	0.281001426
62	0.2783284731
63	0.2757375073
64	0.2721225053
65	0.268750903
66	0.2650373794
67	0.2617032538
68	0.2585824582
69	0.2562563911
70	0.2531006402
71	0.2501224029
72	0.2467972176
73	0.2432693895
74	0.2413990465
75	0.2368891859
76	0.2343421054
77	0.2312566618
78	0.2279071264
79	0.2250424171
80	0.2213822424
81	0.2187640655
82	0.2157368379
83	0.213495493
84	0.2103799534
85	0.2079541496
86	0.2053132268
87	0.2033637997
88	0.2012847784
89	0.1973421433
90	0.1951844766
91	0.1932013336
92	0.1912844216
93	0.1891269657
94	0.1860069046
95	0.1831167658
96	0.1808119314
97	0.17883698
98	0.1762951558
99	0.1740321001
100	0.1717297413
101	0.1701071435
102	0.168233377
103	0.1660296642
104	0.163750255
105	0.1610286898
106	0.1584064351
107	0.1566155518
108	0.1552536704
109	0.1535881487
110	0.1521406361
111	0.1504113132
112	0.148997531113	0.1430678304
114	0.1413916636
115	0.1394429203
116	0.1375264479
117	0.1361209545
118	0.1336178039
119	0.1316794075
120	0.1300321308
121	0.1281554153
122	0.1261736691
123	0.1252773453
124	0.1236788708
125	0.1227073106
126	0.1216084675
127	0.120713026
128	0.1196043579
129	0.1178282509
130	0.1167015119
131	0.1152233414
132	0.1142441556
133	0.1131423807
134	0.1118155546
135	0.1107610944
136	0.1094024573
137	0.1083758191
138	0.1075572499
139	0.1067393674
140	0.1060066571
141	0.1050268658
142	0.1039473566
143	0.1026394836
144	0.1017428839
145	0.1007194279
146	0.09981627407
147	0.09892731995
148	0.09781675151
149	0.09671935004
150	0.0960726467
151	0.09524010477
152	0.09423195388
153	0.0931737653
154	0.0916395722
155	0.09054412275
156	0.08948706906
157	0.08845832516
158	0.08731259833
159	0.08645311146
160	0.08563436795
161	0.08481937188
162	0.08420252914
163	0.08361650269
164	0.08315963124
165	0.082293858511166	0.08144593798167	0.08274637795
168	0.08220394919
169	0.08156104334
170	0.08095845171
171	0.08042645342
172	0.07950180688
173	0.07893475864
174	0.07845891388
175	0.07789406783
176	0.0772228457
177	0.07617131856
178	0.07541169853
179	0.07471312305
180	0.07411391616
1181	0.07175528018
182	0.07098394874
183	0.07037487726
184	0.06931383996
185	0.06871507003
186	0.0678320263
187	0.06750000529
188	0.06698184835
189	0.06620891846190	0.06761199416
191	0.0671214994
192	0.06658465252
193	0.06601080248
194	0.06527208204
195	0.06480087809
196	0.06422517048
197	0.06379780979
198	0.06328609116
199	0.06273441634
200	0.06215461576
201	0.06157312592
202	0.06119448056
203	0.06061953237
204	0.06020647792
205	0.05969988544
206	0.05942064215
207	0.0590128702
208	0.05866572847
209	0.0581717677
210	0.05729974769
211	0.05687845296
212	0.05632020208
213	0.05574692077
214	0.05544363913
215	0.05517758158
216	0.05482984578
217	0.05457309776
218	0.05425766544
219	0.05390708220	0.05316764228
221	0.05264617114
222	0.05221842296
223	0.05184618461
224	0.05144305022
225	0.05102947025
226	0.05067684477
227	0.05044525696
228	0.05015491796
229	0.04954787668
230	0.04927373822
231	0.04896881709
232	0.04854982551
233	0.04814697468
234	0.0479371581
235	0.04769923405
236	0.04728372457
237	0.04707077486
238	0.04678242797
239	0.04647916107
240	0.04609528895
241	0.04579610816
242	0.04551227327
243	0.04525217677
244	0.04501659096
245	0.04481910351
246	0.04450995365
247	0.04431400452
248	0.04411104542
249	0.04381461328
250	0.04343836567
251	0.04300915551
252	0.04277969756
253	0.04255539382
254	0.04227949428
255	0.0420443216
256	0.04147028966
257	0.04122396881
258	0.04093508237
259	0.04073023742
260	0.04046852109
261	0.04024141987
262	0.04000662038
263	0.03981349784
264	0.03953793355
265	0.0392326
266	0.03907161565
267	0.03892564445
268	0.03879325294
269	0.03855961555
270	0.03825736268
271	0.03803895546
272	0.03777652947
273	0.03761567649
274	0.03741742788
275	0.03723873589
276	0.03706413631
277	0.03682498338
278	0.03653033325
279	0.03628421025
280	0.0360988964
281	0.03593419956
282	0.03577448868
283	0.03563227005
284	0.03543619591
285	0.03527383447
286	0.03499104551
287	0.03480241128
288	0.03459113712
289	0.03443187324
290	0.03419726966
291	0.0340540642
292	0.03384529514
293	0.03357756131
294	0.03334688581
295	0.03320853248
296	0.03307336384
297	0.03281977122
298	0.03270343928
299	0.03249782961
300	0.03231247934
301	0.03190860932
302	0.03172273346
303	0.03155906777
304	0.03143118239
305	0.03124448654
306	0.03107737256
307	0.0309153856
308	0.03080237879
309	0.03056160521
310	0.03043201616
311	0.03031484873
312	0.02994355541
313	0.02964474306
314	0.02948232436
315	0.029343161
316	0.02918854989
317	0.0291032459
318	0.02897678331
319	0.02886798112
320	0.02856281429
321	0.02835170778
322	0.02801204592
323	0.0278445769
