iter	Passed	Remaining
0	58	58266
1	58	29383
2	60	20252
3	61	15312
4	62	12449
5	68	11316
6	79	11257
7	80	9968
8	80	8892
9	85	8422
10	86	7752
11	86	7159
12	87	6644
13	87	6179
14	88	5797
15	88	5462
16	89	5167
17	89	4904
18	90	4669
19	91	4470
20	91	4280
21	93	4141
22	93	3987
23	94	3854
24	95	3718
25	95	3593
26	96	3475
27	96	3357
28	97	3256
29	97	3156
30	98	3069
31	98	298132	111	3269
33	112	3185
34	129	3568
35	130	3481
36	131	3435
37	133	3380
38	134	3303
39	134	3230
40	135	3161
41	140	3212
42	141	3149
43	142	3085
44	142	3021
45	142	2965
46	144	2929
47	145	2876
48	146	2837
49	147	2801
50	147	2748
51	148	2707
52	149	2663
53	149	2620
54	144	2481
55	145	2444
56	145	2408
57	146	2384
58	147	2350
59	152	2385
60	155	2394
61	157	2381
62	159	2369
63	160	2349
64	161	2326
65	162	2299
66	163	2275
67	164	2248
68	165	2229
69	166	2212
70	168	2199
71	168	2174
72	171	2173
73	172	2162
74	173	2143
75	174	2115
76	174	2092
77	175	2070
78	176	2056
79	178	2048
80	188	2138
81	188	2114
82	190	2099
83	191	2088
84	193	2078
85	193	2058
86	195	2047
87	196	2031
88	196	2012
89	196	1989
90	197	1975
91	198	1958
92	199	1942
93	199	1925
94	199	1905
95	200	1886
96	200	1870
97	201	1858
98	203	1851
99	204	1837
100	205	1827
101	205	1812
102	206	1798
103	207	1786
104	207	1770
105	208	1755
106	208	1738
107	210	1738
108	211	1725
109	211	1715
110	212	1702
111	213	1689
112	213	1677
113	224	1742
114	230	1775
115	267	2037
116	267	2022
117	268	2007
118	268	1990
119	269	1975
120	270	1961
121	270	1947
122	270	1932
123	271	1920
124	272	1906
125	272	1893
126	273	1879
127	273	1866
128	274	1853
129	274	1839
130	275	1826
131	275	1814
132	276	1803
133	277	1791
134	277	1779
135	278	1767
136	279	1757
137	279	1746
138	280	1739
139	281	1729
140	282	1719
141	282	1708
142	283	1698
143	284	1688
144	285	1683
145	286	1675
146	286	1665
147	287	1655
148	288	1645
149	289	1640
150	290	1633
151	290	1623
152	291	1613
