iter	Passed	Remaining
0	0	391
1	0	288
2	0	250
3	0	232
4	1	220
5	1	213
6	1	207
7	1	203
8	1	200
9	1	197
10	2	195
11	2	193
12	2	191
13	2	189
14	2	188
15	3	187
16	8	519
17	9	499
18	9	482
19	9	466
20	9	458
21	10	457
22	10	444
23	10	433
24	10	422
25	11	412
26	11	403
27	11	394
28	11	387
29	11	379
30	12	376
31	12	369
32	12	363
33	12	357
34	12	352
35	12	346
36	38	11	276
39	12	294
40	12	291
41	12	288
42	12	285
43	12	282
44	13	279
45	13	276
46	13	274
47	13	271
48	13	269
49	15	289
50	15	287
51	16	293
52	16	291
53	16	252	54	17	253	55	18	317
56	19	325
57	19	322
58	20	331
59	21	339
60	22	346
61	22	343
62	22	340
63	23	341
64	23	338
65	23	364	66	23	365	67	25	347
68	26	352
69	26	353
70	27	362
71	28	363
72	28	360
73	28	361
74	29	361
75	30	367
76	31	372
77	31	369
78	32	376
79	33	384
80	33	381
81	33	378
82	33	375
83	34	376
84	34	373
85	34	370
86	35	367
87	35	364
88	35	362
89	35	359
90	35	356
91	35	354
92	36	351
93	36	349
94	36	350
95	36	394	96	37	395	97	38	357
98	38	354
99	39	352
100	39	350
101	39100	43	384
101	43	381
102	43	379
103	45	391
104	45	389
105	45	386
106	46	384
107	46	381
108	46	379
109	46	376
110	46	374
111	46	371
112	47	369
113	47	370
114	48	376
115	49	378
116	49	376
117	50	373
118	50	372
119	50	370
120	51	373
121	51	371
122	52	371
123	52	369
124	52	367
125	54	377
126	55	380
127	55	378
128	55	376
129	55	374
130	56	372
131	56	370
132	56	368
133	57	368
134	57	366
135	57	365
136	57	362
137	57	361
138	58	362
139	58	361
140	59	361
141	59	359
142	60	360
143	61	365
144	61	364
145	61	362
146	62	360
147	63	366
148	64	367
149	64	367
150	64	364
151	65	363
152	65	361
153	65	359
154	65	358
155	65	356
156	66	356
157	66	356
158	68	363
159	68	361
160	69	359
161	69	357
162	69	355
163	69	353
164	69	352
165	69	350
166	69	348
167	70	347
168	70	346
169	70	345
170	71	344
171	71	344
172	71	342
173	71	341
174	72	339
175	72	338
176	72	337
177	72	335
178	73	335
179	73	334
180	73	333
181	73	331
182	74	330
183	74	329
184	74	327
185	74	326
186	74	324
187	74	323
188	75	322
189	75	320
190	76	322
191	76	322
192	76	320
193	76	319
194	77	318
195	77	316
196	77	315
197	77	314
198	77	312
199	78	312
200	78	311
201	78	310
202	78	309
203	78	307
204	79	307
205	79	305
206	79	304
207	79	303
208	81	308
209	81	307
210	81	305
211	81	304
212	82	303
213	82	302
214	83	303
215	83	302
216	83	301
217	83	300
218	83	299
219	86	305
220	86	303
221	86	303
222	86	302
223	87	301
224	87	300
225	87	299
226	87	299
227	91	309
228	91	307
229	91	306
230	91	305
231	92	305
232	92	305
233	93	304
234	93	303
235	93	302
236	93	301
237	95	304
238	95	303
239	95	302
240	96	303
241	96	302
242	96	301
243	96	299
244	96	298
245	97	297
246	97	296
247	97	295
248	97	294
249	98	294
250	99	295
251	99	294
252	99	293
253	99	292
254	101	297
255	101	296
256	102	295
257	102	294
258	102	293
259	102	292
260	102	291
261	102	290
262	103	289
263	103	287
264	103	286
265	103	285
266	104	286
267	104	285
268	105	285
269	105	284
270	105	283
271	105	282
272	105	281
273	105	280
274	106	280
275	106	279
276	107	280
277	107	279
278	110	284
279	110	283
280	110	282
281	111	283
282	111	282
283	111	281
284	111	280
285	111	279
286	112	278
287	112	277
288	112	276
289	112	275
290	112	275
291	113	274
292	113	273
293	113	272
294	114	273
295	115	275
296	116	274
297	116	273
298	116	272
299	116	271
300	116	270
301	116	270
302	117	269
303	117	268
304	117	268
305	118	269
306	119	268
307	121	272
308	121	271
309	121	270
310	121	269
311	122	269
312	122	268
313	122	267
314	122	267
315	123	266
316	123	266
317	125	269
318	126	269
319	126	268
320	127	269
321	127	269
322	128	268
323	128	267
324	128	266
325	128	265
326	128	264
327	128	264
328	129	263
329	129	263
330	129	262
331	129	261
332	130	260
333	130	259
334	130	259
335	130	258
336	131	258
337	131	258
338	131	257
339	134	261
340	134	260
341	134	259
342	135	258
343	135	258
344	135	257
345	136	257
346	136	256
347	136	255
348	136	254
349	136	253
350	136	253
351	137	252
352	137	251
353	137	250
354	138	251
355	138	250
356	139	250
357	139	249
358	139	249
359	139	248
360	139	247
361	140	246
362	140	246
363	140	245
364	140	244
365	140	244
366	141	243
367	141	243
368	142	242
369	142	242
370	142	241
371	142	240
372	142	240
373	143	239
374	143	238
375	143	237
376	143	237
377	143	236
378	144	236
379	144	235
380	144	235
381	144	234
382	145	235
383	146	235
384	146	234
385	148	236
386	148	235
387	148	234
388	148	233
389	149	233
390	149	232
391	149	231
392	149	231
393	149	230
394	150	229
395	150	229
396	150	228
397	150	227
398	151	227
399	151	226
400	151	226
401	152	226
402	152	225
403	152	225
404	152	224
405	152	223
406	153	223
407	153	222
408	153	221
409	153	221
410	154	221
411	154	220
412	154	220
413	155	219
414	155	218
415	155	218
416	155	217
417	155	216
418	155	216
419	156	215
420	156	214
421	156	214
422	156	213
