iter	Passed	Remaining
0	74	74828
1	76	38394
2	78	26108
3	80	19952
4	81	16251
5	85	14230
6	88	12511
7	93	11583
8	96	10660
9	98	9740
10	100	9018
11	102	8470
12	105	8046
13	108	7663
14	110	7259
15	112	6899
16	114	6623
17	117	6432
18	122	6343
19	127	6233
20	131	6134
21	135	6011
22	138	5901
23	141	5747
24	147	5736
25	150	5638
26	155	5601
27	157	5466
28	160	5368
29	162	5264
30	165	5169
31	168	5098
32	170	4995
33	180	5140
34	175	4844
35	179	4802
36	182	4752
37	184	4675
38	186	4592
39	188	4513
40	189	4436
41	192	4387
42	193	4316
43	195	4248
44	197	4185
45	198	4123
46	200	4072
47	204	4057
48	209	4065
49	211	4014
50	213	3965
51	219	4007
52	223	3998
53	227	3993
54	232	3988
55	233	3942
56	235	3896
57	255	4143
58	259	4143
59	263	4125
60	268	4130
61	273	4131
62	278	4146
63	283	4145
64	288	4145
65	293	4149
66	298	4153
67	303	4154
68	308	4158
69	313	4168
70	319	4182
71	326	4203
72	331	4205
73	335	4197
74	341	4211
75	346	4215
76	351	4208
77	356	4213
78	361	4212
79	367	4221
80	370	4206
81	375	4208
82	380	4200
83	385	4202
84	391	4211
85	395	4203
86	401	4208
87	405	4203
88	411	4209
89	415	4204
90	420	4196
91	425	4202
92	431	4209
93	436	4203
94	441	4202
95	445	4194
96	449	4185
97	453	4173
98	458	4173
99	463	4174
100	468	4173
101	475	4185
102	479	4177
103	485	4186
104	490	4182
105	494	4170
106	499	4169
107	505	4171
108	509	4166
109	514	4164
110	520	4166
111	525	4163
112	529	4155
113	533	4144
114	538	4140
115	543	4143
116	548	4136
117	553	4136
118	560	4148
119	564	4137
120	568	4129
121	570	4102
122	571	4077
123	574	4058
124	579	4059
125	587	4074
126	591	4063
127	597	4072
128	603	4073
129	605	4054
130	609	4041
131	614	4041
132	619	4040
133	623	4027
134	627	4019
135	634	4033
136	637	4018
137	639	3996
138	641	3974
139	646	3973
140	652	3972
141	655	3959
142	662	3970
143	667	3965
144	671	3957
145	677	3961
146	681	3953
147	683	3934
148	689	3936
149	693	3930
150	698	3930
151	704	3929
152	707	3916
153	711	3910
154	719	3920
155	723	3912
156	728	3909
157	732	3900
158	736	3896
159	743	3902
160	747	3897
161	751	3888
162	756	3885
163	761	3881
164	763	3864
165	766	3852
166	770	3842
167	776	3844
168	779	3830
169	783	3823
170	786	3812
171	791	3807
172	795	3801
173	799	3794
174	805	3796
175	809	3787
176	814	3786
177	818	3780
178	822	3770
179	827	3768
180	830	3759
181	836	3759
182	842	3762
183	846	3753
184	853	3761
185	858	3755
186	860	3739
187	862	3724
188	866	3718
189	870	3712
190	875	3708
191	879	3702
192	885	3704
193	890	3700
194	895	3694
195	898	3687
196	903	3680
197	906	3672
198	910	3665
199	913	3654
200	920	3659
201	922	3643
202	925	3635
203	930	3629
204	935	3626
205	936	3609
206	941	3608
207	945	3599
208	949	3592
209	952	3584
210	955	3573
211	958	3560
212	962	3555
213	967	3554
214	974	3556
215	979	3554
216	985	3557
217	989	3549
218	994	3544
219	995	3531
220	998	3520
221	1001	3509
222	1007	3510
223	1011	3504
224	1015	3497
225	1020	3495
226	1024	3487
227	1029	3485
228	1036	3489
229	1040	3482
230	1042	3470
231	1048	3470
232	1051	3461
233	1055	3454
234	1060	3451
235	1064	3446
236	1072	3452
237	1075	3443
238	1080	3440
239	1085	3436
240	1089	3430
241	1093	3423
242	1097	3419
243	1101	3413
244	1105	3407
245	1110	3402
246	1114	3397
247	1118	3390
248	1122	3384
249	1127	3383
250	1133	3382
251	1136	3374
252	1143	3375
253	1157	3398
254	1164	3402
255	1177	3422
256	1185	3426
257	1189	3419
258	1196	3423
259	1201	3418
260	1206	3415
261	1211	3413
262	1219	3418
263	1227	3421
264	1229	3411
265	1233	3403
266	1237	3397
267	1242	3394
268	1246	3387
269	1250	3380
270	1252	3369
271	1255	3361
272	1262	3362
273	1265	3352
274	1272	3355
275	1279	3356
276	1282	3346
277	1287	3343
278	1299	3357
279	1311	3372
280	1318	3374
281	1325	3373
282	1331	3373
283	1337	3372
284	1345	3375
285	1353	3379
286	1364	3391
287	1370	3388
288	1375	3382
289	1378	3374
290	1379	3361
291	1384	3357
292	1387	3348
293	1393	3345
294	1401	3349
295	1405	3343
296	1410	3339
297	1414	3332
298	1416	3321
299	1419	3311
300	1423	3305
301	1427	3300
302	1433	3297
303	1435	3286
304	1438	3278
305	1441	3268
306	1443	3257
307	1444	3245
308	1447	3236
309	1450	3228
310	1455	3225
311	1457	3214
312	1460	3206
313	1463	3197
314	1465	3187
315	1468	3178
316	1474	3177
317	1479	3173
318	1486	3172
319	1491	3168
320	1494	3161
321	1498	3156
322	1504	3153
323	1507	3145
324	1509	3135
325	1514	3132
326	1516	3121
327	1519	3113
328	1524	3108
329	1526	3098
330	1529	3090
331	1532	3084
332	1536	3076
333	1541	3073
334	1545	3068
335	1549	3061
336	1555	3060
337	1558	3052
338	1562	3047
339	1565	3038
340	1567	3028
341	1573	3026
342	1577	3021
343	1582	3017
344	1586	3011
345	1589	3003
346	1594	3001
347	1601	3000
348	1602	2989
349	1606	2984
350	1610	2977
351	1612	2967
352	1616	2963
353	1619	2954
354	1622	2948
355	1624	2939
356	1632	2941
357	1639	2940
358	1655	2956
359	1661	2953
360	1663	2944
361	1670	2944
362	1673	2937
363	1676	2928
364	1678	2920
365	1681	2913
366	1683	2904
367	1686	2896
368	1690	2890
369	1694	2884
370	1700	2882
371	1703	2875
372	1706	2869
373	1710	2862
374	1713	2856
375	1717	2850
376	1722	2846
377	1725	2839
378	1730	2835
379	1734	2829
380	1735	2819
381	1742	2819
382	1744	2810
383	1746	2801
384	1748	2793
385	1751	2785
386	1755	2781
387	1759	2775
388	1762	2768
389	1768	2766
390	1770	2757
391	1774	2752
392	1778	2746
393	1779	2737
394	1782	2729
395	1785	2723
396	1790	2719
397	1793	2712
398	1798	2708
399	1801	2702
400	1807	2699
401	1810	2692
402	1812	2685
403	1819	2684
404	1823	2678
405	1825	2670
406	1826	2661
407	1828	2653
408	1833	2649
409	1835	2641
410	1837	2633
411	1843	2630
412	1845	2622
413	1847	2615
414	1850	2609
415	1853	2602
416	1859	2599
417	1861	2592
418	1865	2586
419	1867	2578
420	1871	2574
421	1877	2571
422	1881	2566
423	1887	2564
424	1891	2558
425	1896	2555
426	1899	2548
427	1900	2540
428	1911	2544
429	1920	2545
430	1925	2541
431	1927	2533
432	1931	2528
433	1933	2521
434	1937	2516
435	1942	2513
436	1947	2508
437	1951	2504
438	1953	2496
439	1956	2490
440	1961	2485
441	1964	2479
442	1968	2475
443	1972	2470
444	1975	2463
445	1977	2456
446	1985	2455
447	1987	2449
448	1990	2442
449	1994	2437
450	1997	2431
451	2001	2426
452	2003	2419
453	2006	2413
454	2010	2407
455	2014	2403
456	2017	2396
457	2019	2389
458	2020	2381
459	2023	2375
460	2026	2369
461	2030	2364
462	2034	2359
463	2038	2354
464	2041	2349
465	2045	2343
466	2048	2338
467	2053	2334
468	2056	2328
469	2059	2322
470	2063	2317
471	2070	2316
472	2080	2318
473	2086	2315
474	2088	2308
475	2092	2303
476	2096	2298
477	2097	2290
478	2103	2287
479	2110	2286
480	2112	2279
481	2117	2275
482	2119	2268
483	2121	2262
484	2124	2255
485	2128	2250
486	2131	2245
487	2135	2240
488	2139	2235
489	2146	2234
490	2152	2231
491	2155	2225
492	2158	2219
493	2160	2212
494	2163	2206
495	2165	2200
496	2171	2198
497	2176	2194
498	2179	2187
499	2181	2181
500	2184	2175
501	2185	2168
502	2190	2164
503	2198	2164
504	2204	2160
505	2210	2157
506	2213	2151
507	2214	2144
508	2220	2141
509	2221	2134
510	2225	2130
511	2231	2126
512	2237	2123
513	2241	2118
514	2245	2115
515	2247	2108
516	2249	2101
517	2253	2096
518	2257	2092
519	2259	2085
520	2262	2080
521	2266	2075
522	2270	2070
523	2273	2065
524	2275	2059
525	2278	2052
526	2281	2047
527	2285	2043
528	2288	2037
529	2293	2033
530	2296	2028
531	2300	2023
532	2306	2021
533	2310	2016
534	2317	2013
535	2321	2010
536	2328	2007
537	2333	2003
538	2335	1997
539	2339	1992
540	2340	1985
541	2344	1981
542	2349	1977
543	2358	1977
544	2361	1971
545	2364	1965
546	2367	1960
547	2369	1954
548	2373	1949
549	2376	1944
550	2378	1938
551	2381	1933
552	2386	1928
553	2390	1924
554	2392	1918
555	2395	1912
556	2399	1908
557	2402	1903
558	2406	1898
559	2413	1896
560	2420	1893
561	2427	1891
562	2431	1886
563	2440	1886
564	2443	1880
565	2447	1876
566	2452	1873
567	2463	1873
568	2471	1872
569	2474	1866
570	2475	1859
571	2481	1856
572	2484	1851
573	2489	1847
574	2491	1841
575	2495	1837
576	2502	1834
577	2508	1831
578	2513	1827
579	2515	1821
580	2519	1816
581	2520	1810
582	2522	1804
583	2524	1798
584	2526	1792
585	2529	1786
586	2531	1780
587	2533	1774
588	2535	1769
589	2538	1763
590	2539	1757
591	2541	1751
592	2544	1746
593	2545	1740
594	2548	1734
595	2550	1728
596	2552	1723
597	2554	1717
598	2557	1711
599	2559	1706
600	2561	1700
601	2562	1694
602	2565	1689
603	2567	1683
604	2569	1677
605	2572	1672
606	2574	1666
607	2576	1660
608	2578	1655
609	2581	1650
610	2582	1644
611	2585	1638
612	2586	1633
613	2588	1627
614	2590	1621
615	2593	1616
616	2594	1610
617	2596	1604
618	2598	1599
619	2599	1593
620	2601	1587
621	2603	1582
622	2605	1576
623	2607	1571
624	2609	1565
625	2611	1560
626	2613	1554
627	2615	1549
628	2616	1543
629	2618	1537
630	2619	1531
631	2620	1526
632	2622	1520
633	2624	1514
634	2625	1509
635	2627	1503
636	2628	1497
637	2629	1492
638	2631	1486
639	2632	1480
640	2634	1475
641	2636	1470
642	2637	1464
643	2640	1459
644	2641	1454
645	2643	1448
646	2645	1443
647	2647	1438
648	2649	1432
649	2651	1427
650	2653	1422
651	2654	1417
652	2656	1411
653	2658	1406
654	2660	1401
655	2662	1395
656	2663	1390
657	2665	1385
658	2667	1380
659	2669	1375
660	2670	1369
661	2672	1364
662	2674	1359
663	2676	1354
664	2678	1349
665	2680	1344
666	2682	1339
667	2684	1334
668	2686	1328
669	2687	1323
670	2689	1318
671	2691	1313
672	2693	1308
673	2694	1303
674	2696	1298
675	2698	1293
676	2700	1288
677	2702	1283
678	2704	1278
679	2705	1273
680	2708	1268
681	2710	1263
682	2711	1258
683	2713	1253
684	2716	1249
685	2718	1244
686	2720	1239
687	2722	1234
688	2724	1229
689	2726	1224
