iter	Logloss
0	0.6905613671
1	0.6875902288
2	0.6852736132
3	0.6824558944
4	0.679395717
5	0.6760528339
6	0.6732311968
7	0.6710605517
8	0.6683968515
9	0.6653730415
10	0.6628040304
11	0.6594477557
12	0.6565718795
13	0.6542842004
14	0.6521133527
15	0.6492677049
16	0.6469769518
17	0.6444210394
18	0.64243343
19	0.6398809861
20	0.6369616044
21	0.6333646574
22	0.6310251981
23	0.6281615458
24	0.6257795806
25	0.623832975
26	0.6214198825
27	0.6186184132
28	0.6157542115
29	0.6140203925
30	0.6117275718
31	0.6098833663
32	0.6078313232
33	0.6050979161
34	0.6023235113
35	0.5996984289
36	0.5972596115
37	0.5956084114
38	0.5933719409
39	0.5904554576
40	0.5884849925
41	0.5864835678
42	0.5848740333
43	0.5826964654
44	0.5811053371
45	0.5795154128
46	0.5772509926
47	0.5750337077
48	0.5723744815
49	0.5703705135
50	0.568419138
51	0.566292943
52	0.5638210167
53	0.561709262
54	0.5598347143
55	0.5577166325
56	0.5559416662
57	0.5534267628
58	0.5509464631
59	0.5490354731
60	0.546705761	061	0.5446709469
62	0.5423791289
63	0.5401888124
64	0.5377743776
65	0.5351187302
66	0.533267712
67	0.5308168	0.5803669007
69	0.5790243943
70	0.5772512545
71	0.5756075729
72	0.5743549739
73	0.573022836
74	0.5714113652
75	0.5702934098
76	0.5685042244
77	0.5671245581
78	0.5655928329
79	0.5640922329
80	0.5626750524
81	0.5610935106
82	0.5590485904
83	0.558184721
84	0.557046119
85	0.5563384836
86	0.5548388372
87	0.5536827957
88	0.5524722413
89	0.5511551283
90	0.5501060654
91	0.548259843
92	0.5473277798
93	0.546579546
94	0.5455231867
95	0.5443400429
96	0.5431024457
97	0.5415631916
98	0.5403405804
99	0.5388395017
100	0.5376385893
101	0.5364188847
102	0.534752595
103	0.5336570819
104	0.5320838669
105	0.5306786305
106	0.5299792586
107	0.5287119178
108	0.5276011092
109	0.5259915793
110	0.5246779791
111	0.5233199063
112	0.5224086268
113	0.5209464009
114	0.5195759281
115	0.5180831812
116	0.5165134998
117	0.5154574115
118	0.5140162316
119	0.5127413059
120	0.5117501757
121	0.5109512151
