iter	Passed	Remaining
0	0	474
1	0	434
2	1	419
3	3	809
4	3	728
5	4	674
6	4	632
7	4	602
8	5	640
9	6	673
10	7	647
11	7	625
12	7	607
13	8	590
14	10	660
15	11	696
16	11	678
17	12	681
18	12	665
19	13	652
20	14	659
21	16	718
22	17	734
23	18	766
24	19	764
25	23	883
26	25	903
27	25	888
28	26	898
29	27	886
30	28	884
31	28	867
32	29	858
33	29	837
34	29	823
35	30	815
36	31	811
37	32	814
38	32	808
39	33	802
40	33	790
41	35	805
42	36	805
43	36	795
44	36	781
45	38	790
46	38	780
47	38	771
48	40	783
49	41	790
50	45	837
51	45	835
52	46	826
53	46	816
54	47	807
55	47	798
56	47	790
57	48	782
58	48	774
59	48	766
60	49	758
61	50	770
62	51	767
63	52	760
64	52	753
65	52	747
66	53	740
67	53	738
668	59	809
69	62	825
70	63	835
71	64	827
72	64	820
73	65	813
74	66	819
75	66	812
76	67	805
77	67	799
78	68	799
79	69	795
80	69	791
81	71	798
82	71	793
83	72	787
84	72	781
85	72	774886	75	795
87	76	789
88	76	784
89	76	778
90	77	774
91	79	782
92	81	793
93	83	805
94	83	799
95	84	796
96	86	807
97	87	803
98	87	799
99	88	795
100	88	790
101	90	793
102	92	805
103	93	801
104	93	796
105	93	792
106	94	785
107	94	782
108	95	779
109	95	774
110	96	776
111	97	772
112	99	777
113	99	776
114	100	773
115	102	777
116	103	778
117	104	779
118	105	778
119	105	777
120	107	783
121	109	785
122	109	781
123	110	777
124	110	773
125	111	774
126	112	772
127	113	775
128	114	771
129	114	767
130	115	763
131	115	760
132	117	766
133	118	763
134	119	762
135	119	758
136	119	754
137	120	753
138	121	750
139	122	750
140	122	746
141	124	749
142	124	746
143	125	743
144	125	741
145	126	737
146	127	740
147	128	737
148	128	734
149	129	736
150	130	732
151	130	730
152	131	730
153	132	726
154	133	727
155	136	739
156	137	736
157	137	733
158	137	729
159	138	726
160	138	722
161	139	719
162	139	715
163	141	723
164	144	732
165	145	729
166	149	743
167	149	742
168	150	739
169	151	737
170	151	734
171	151	731
172	152	727
173	152	724
174	153	721
175	153	718
176	153	715
177	154	712
178	156	716
179	156	713
180	156	710
181	157	707
182	157	704
183	158	704
184	159	701
185	159	698
186	159	695
187	160	692
188	160	689
189	161	686
190	161	684
191	161	681
192	162	678
193	162	675
194	163	673
195	163	670
196	163	668
197	165	669
198	166	668
199	166	666
200	167	663
201	167	661
202	167	658
203	168	657
204	168	654
205	169	652
206	169	650
207	170	647
208	170	645
209	170	642
210	171	640
211	171	637
212	172	635
213	172	633
214	172	630
215	173	628
216	173	626
217	173	623
218	174	621
219	174	619
220	176	621
221	177	621
222	178	622
223	179	621
224	180	621
225	180	619
226	181	617
227	181	615
228	182	613
229	182	610
230	183	609
231	183	607
232	183	604
233	184	602
234	184	600
235	184	598
236	185	596
237	185	594
238	187	598
239	188	596
240	204	643
241	206	647
242	249	777
243	250	776
244	267	825
245	268	822
246	269	820
247	269	817
248	270	814
249	270	811
250	270	808
251	271	805
252	271	801
253	272	798
254	272	795
255	272	792
256	273	789
257	273	787
258	274	784
259	274	781
260	274	778
261	275	775
262	275	772
263	276	769
264	276	767
265	276	764
266	277	761
267	277	758
268	278	755
269	278	752
270	278	750
271	280	751
272	281	749
273	282	747
274	282	745
275	283	742
276	284	741
277	285	740
278	285	738
279	286	735
280	286	732
281	286	730
282	287	727
283	287	725
284	287	722
285	289	723
286	290	720
287	290	718
288	290	715
289	291	712
290	291	710
291	292	708
292	292	705
293	292	703
294	293	700
295	293	698
296	294	695
297	294	693
298	294	691
299	295	688
300	295	686
301	295	684
302	296	681
303	296	679
304	297	676
305	297	674
306	297	672
307	298	670
308	298	668
309	299	665
310	299	663
311	299	661
312	301	660
313	301	658
314	302	657
315	302	655
316	303	653
317	303	650
318	305	651
