iter	RMSE
0	4.409976803
1	4.312536265
2	4.224270049
3	4.14076661
4	4.062622597
5	3.995049288
6	3.910645192
7	3.829690711
8	3.749489517
9	3.656329491
10	3.560610125
11	3.497810225
12	3.430558212
13	3.369245335
14	3.307134185
15	3.230871835
16	3.153996272
17	3.088743187
18	3.017286166
19	2.960699666
20	2.90406017
21	2.843345231
22	2.780745751
23	2.721888033
24	2.663798629
25	2.614013542
26	2.56441284
27	2.514722371
28	2.471781791
29	2.413358543
30	2.365013703
31	2.317707133
32	2.276735742
33	2.228836234	34	2.185926039
35	2.142184739
36	2.098596838
37	2.055414764
38	2.011909092
39	1.98116836
40	1.940440429
41	1.910809889
42	1.880810833
43	1.84020188
44	1.796217276
45	1.764661172
46	1.730570037
47	1.69337401
48	1.656818794
49	1.626184891
50	1.594333665
51	1.566512966
52	1.532193953	53	1.498544354	1.455364762
55	55	1.447419056	56	1.414537957	1.380777356
58	1.358780009
59	1.330251336
60	60	1.315235761	61	1.291176362	62	1.265839463	63	1.243448364	64	1.218415765	1.182428582
66	1.161648042
67	1.138339003
68	1.118155204
69	1.097704241
70	1.07737366
71	1.056549262
72	1.035577239
73	1.015192546
74	0.9962225192
75	0.9771762555
76	0.9611955147
77	0.9435368043
78	0.926137958
79	0.9121895791
80	0.8974845282
81	0.8828392122
82	0.867446664
83	0.8488798025
84	0.8351327408
85	085	0.838727686	086	0.8276522558
87	0.812058888	0.7814217724
89	0.7684672505
90	0.7577375317
91	091	0.764145292	0.7345540124
93	0.725344938
94	0.7107354202
95	0.7006518801
96	0.6912033554
97	0.6809128989
98	0.671082114
99	0.6616395977
100	0.6521872075
101	0.6430030574
102	0.6320669698
103	0.6212062274
104	0.611209433
105	0.6015013748
106	0.5953783815
107	0.5884333013
108	0.5804924558
109	0.5740821628
110	0.5676126941
111	0.5596998962
112	0.5529344641
113	0.5461910123
114	0.5388979945
115	0.5320464102
116	0.5248189431
117	0.5159857095
118	0.5087235511
119	0.5019833415
120120	0.49520125121121	0.4890193122	122	0.4817812023
123	0.4760726124	124	0.4705748125	125	0.4650133126	126	0.4593158127	0.454256815
128	0.4499289576
129	0.4442690388
13130	0.44064891413131	0.436656979132	0.4305948763
133	0.4265468935
134	0.4219971926
13135	0.419462076136	0.4128909897
137	0.408515769
138	0.4045201371
139	0.4013114899
140140	0.40205926141	0.393987158
142	0.3900059476
143	0.3870573268
144	0.3845048812
145	0.3807478631
146	0.377486002
147	0.3747587381
148	0.3715305975
149	0.3673367688
150	0.3642782566
151	0.3617719542
152	0.3589625886
153	0.3553079086
154	0.3520656977
155	0.3496942035
156	0.3475735725
157	0.3442361837
158	0.3418135229
159	0.3389363358
160	0.3355122855
161	0.3334204175
162	0.3300023028
163	0.3267492964
164	0.3239150623
165	0.3212643239
166	0.318701552
167	0.3162745879
168	0.3140261539
169	0.3121676925
170	0.3107431039
171	0.308330198
172	0.3058926742
173	0.3041672421
174	0.3019506073
175	0.3001896364
176	0.298409858
177	0.2966221156
178	0.2943764228
179	0.292424353
180	0.2901343852
181	0.2885084811
182	0.2865756218
183	0.2846402103
184	0.2830934899
185	0.2814512303
186	0.2796292083
187	0.2780277719
188	0.2762833832
189	0.2741539531
190	0.2727604736
191	0.2704330486
192	0.268550335
193	0.267193	0.19194	0.26570629119195	0.264101414196	0.2738457653
197	0.2724197	0.2198	0.2704036811
199	0.2689199	0.238036206
200	0.2370924575
201	0.235202	0.25202	0.234203	0.25203	0.232204	0.25204	0.2305759853
205	0.2292358367
206	0.2273590358
207	0.2262323267
208	0.2250355546
209	0.2236506719
210	0.2224269943
211	0.2216324511
212	0.2199652893
213	0.2185974015
214	0.2172805334
215	0.2158339796
216	0.2144965887
217	0.2130797836
218	0.212219	0.2306651577
220	0.2295611542
221	0.2285832975
222	0.2273678333
223	0.2261035891
224	0.2248025514
225	0.223698383
226	0.22226	0.201227	0.22227	0.200228	0.21228	0.199229	0.21229	0.197230	0.21230	0.196914515
231	0.1958640493
232	0.1945600733
233	0.193234	0.2209343084
235	0.2193621197
236	0.2175321334
237	0.2168112651
238	0.2159645191
239	0.2150804112
240	0.2141208538
241	0.2126205003
242	0.2117665944
243	0.2106087412
244	0.2097588077
245	0.2083394348
246	0.2069508471
247	0.2060805349
2248	0.2074851245
249	0.2069063701
250	0.2061721416
251	0.2251	0.2027204801
252	0.2017007653
253	0.2004724546
254	0.199255	0.1980472649
256	0.1968379904
257	0.1961965014
258	0.1953671948
259	0.1944515725
260	0.1938714184
261	0.1929900839
262	0.1921147349
263	0.1910549974
264	0.1901638553
265	0.1892399493
266	0.188373712
267	0.1879136434
268	0.1869724397
269	0.18605663
270	0.1855435807
271	0.1848293693
272	0.1841158695
273	0.1831588185
274	0.1824238211
275	0.1817746149
276	0.1811223776
277	0.180540067
278	0.1803653464
279	0.1798736721
280	0.1789451596
281	0.1781104417
282	0.1771997766
283	0.176529707
284	0.1764037249
285	0.1755450389
286	0.1745182486
287	0.1738931483
288	0.1737740164
289	0.1736501032
290	0.1727213704
291	0.1718293915
292	0.1709545072
293	0.1708015621
294	0.1703014367
295	0.1701768655
296	0.1695865493
297	0.1688165734
298	0.1686555599
299	0.1677437532
300	0.1670297951
301	0.1663677354
302	0.1659948577
303	0.1652991797
304	0.1645442838
305	0.1639172545
306	0.16380626
307	0.1636968135
308	0.1633990774
309	0.1629896956
310	0.1620899603
311	0.161278904
312	0.1611481756
313	0.1604671313
314	0.1603380529
315	0.1595596655
316	0.1588431807
317	0.1583176345
318	0.1577883166
319	0.1573153363
320	0.1564501142
321	0.1557158449
322	0.1555938951
323	0.1547635274
324	0.1541198975
325	0.1533892687
326	0.1525223193
327	0.1520331472
328	0.1513108225
329	0.1511588304
330	0.1510425118
331	0.1505859663
332	0.1498711996
333	0.1497537372
334	0.1492226598
335	0.1491080596
336	0.1485060719
337	0.147922248
338	0.1478120882
339	0.1471017973
340	0.1469946815
341	0.1461972323
342	0.1457460045
343	0.1452209144
344	0.1448297451
345	0.1443004437
346	0.1441988534
347	0.143806771
348	0.1432233794
349	0.1427785669
350	0.1421175997
351	0.1420361308
352	0.1413113978
353	0.1411784371
354	0.1406084738
355	0.1400601055
356	0.1395808185
357	0.1390838853
358	0.1386879957
359	0.1380046052
360	0.1373366968
361	0.1371788895
362	0.1365278015
363	0.1358068892
364	0.1355527659
365	0.1354770643
366	0.1350314783
367	0.134504588
368	0.1340310718
369	0.1335444909
370	0.1328967694
371	0.1324565591
372	0.1320885028
373	0.131733545
374	0.1316654606
375	0.1312652846
376	0.1308392035
377	0.1301898151
378	0.1295491597
379	0.1294833837
380	0.1294188177
381	0.1289540811
382	0.1283764983
383	0.1282113851
384	0.1277283802
385	0.1271516097
386	0.1270890862
387	0.1266510114
388	0.1260841523
389	0.1259116843
390	0.1255646948
391	0.125026372
392	0.1249653326
393	0.1245624175
394	0.1245024148
395	0.1240140606
396	0.1239547984
397	0.12351398
398	0.1234112632
399	0.122931018
400	0.1225789387
401	0.1222233506
402	0.1217957027
403	0.1217396749
404	0.1211515247
405	0.1207674013
406	0.1202075109
407	0.1199884338
408	0.1195193972
409	0.119219796
410	0.1190259591
411	0.1186215413
412	0.1181221004
413	0.1179786092
414	0.1174678231
415	0.1170256007
416	0.1166176893
417	0.1161669919
418	0.115988348
419	0.1156482643
420	0.1154797567
421	0.1151236024
422	0.1146669663
423	0.1140521496
424	0.1135179926
425	0.1133570704
426	0.1129781388
427	0.1125051027
428	0.112390838
429	0.1123422064
430	0.1119875376
431	0.11151456
432	0.1110684699
433	0.1107051294
434	0.1101584265
435	0.1101112037
436	0.1096651306
437	0.1092924065
438	0.1088923351
439	0.1085262097
440	0.1080766321
441	0.1077342136
442	0.1075373686
443	0.1070813289
444	0.1069557913
445	0.1068833842
446	0.1065366405
447	0.1061398258
448	0.106054818
449	0.1057187229
450	0.1055350972
451	0.1054922974
452	0.10516458
453	0.1047708693
454	0.1045830882
455	0.1041106563
456	0.1037674131
457	0.1035201724
458	0.1031481913
459	0.102784745
460	0.1023881744
461	0.1020313209
462	0.1016149604
463	0.1012221861
464	0.1009024054
465	0.1005554149
466	0.1003785963
467	0.1000708401
468	0.09959540288
469	0.09939124106
470	0.09912287887
471	0.09867594549
472	0.09838561617
473	0.09802330004
474	0.09760511376
475	0.09730242347
476	0.09725440109
477	0.09690066243
478	0.0965903719
479	0.09627514383
480	0.09597683693
481	0.09572655971
482	0.09543357883
483	0.09511771344
484	0.0949018338
485	0.09486457974
486	0.09452797411
487	0.09417814344
488	0.09414424248
489	0.09382885234
490	0.09347424298
491	0.09314975483
492	0.09293662241
493	0.09266452102
494	0.09236566271
495	0.09202328187
496	0.09188069028
497	0.09162048523
498	0.09130079877
499	0.09113515347
500	0.09074029043
501	0.09060807588
502	0.09034806886
503	0.09012059896
504	0.08985759599
505	0.08975839441
506	0.08935731194
507	0.0891016472
508	0.08877659981
509	0.08853780774
510	0.08842230208
511	0.08817580754
512	0.08793176775
513	0.08769546463
514	0.0876073386
515	0.08749940279
516	0.08705131267
517	0.08664935264
518	0.08661753826
519	0.08620673867
520	0.08605278191
521	0.08581650684
522	0.08555743702
523	0.08536415536
524	0.08505059128
525	0.08480630021
526	0.08443065313
