iter	Passed	Remaining
0	1	1434
1	4	2199
2	7	2358
3	8	2036
4	9	1915
5	12	2134
6	15	2209
7	17	2212
8	21	2317
9	23	2277
10	24	2193
11	26	2185
12	28	2195
13	30	2165
14	32	2122
15	33	2053
16	33	1953
17	35	1959
18	38	1965
19	41	2026
20	42	1990
21	44	1958
22	46	1974
23	48	1955
24	49	1928
25	50	1902
26	53	1936
27	55	1939
28	57	1937
29	59	1938
30	61	1919
31	63	1909
32	64	1901
33	66	1902
34	69	1920
35	72	1945
36	74	1928
37	76	1929
38	79	1947
39	80	1922
40	81	1911
41	83	1903
42	84	1885
43	86	1869
44	87	1853
45	88	1838
46	89	1824
47	91	1810
48	92	1796
49	93	1769
50	94	1763
51	96	1751
52	97	1740
53	98	1729
54	99	1717
55	101	1714
56	103	1717
57	105	1708
58	106	1697
59	107	1687
60	111	1709
61	112	1698
62	113	1685
63	114	1673
64	115	1666
65	117	1659
6665	154	2189
66	157	2197
67	159	2181
68	160	2170
69	162	2154
70	163	2140
71	164	2123
72	166	2110
73	167	2095
74	168	2081
75	169	2064776	172	2072
77	174	2066778	177	2069879	179	2058880	181	2061
81	183	2049
82	183	2031883	184	201385	175	1868
86	177	1867
87	180	1865
88	181	1856
89	182	1844
989	198	201191	190	1882
92	192	1878
93	195	1885
993	211	2036
94	213	2036
95	215	2028996	217	2025
97	222	2045
98	225	2056
99	227	2049
100	230	2047
101	231	2034
102	233	2031
103	234	2021
104	235	2009
105	237	2000
106	238	1990
107	238	1971
108	240	1961
109	241	1952
110	243	1946
111	245	1946
112	247	1946
114	237	1829
115	239	1825
115	255	1945
116	257	1946
118	248	1841
119	251	1842
120	254	1848
121	256	1847
122	260	1854
123	261	1847
124	263	1844
125	264	1836
126	266	1829
127	267	1820
128	269	1819
129	270	1810
130	273	1814
131	275	1809
132	275	1798
133	277	1795
134	279	1793
135	283	1802
136	284	1794
137	287	1794
138	288	1787
139	289	1780
140	291	1774
141	293	1770
142	294	1763
143	296	1761
144	298	1761
145	300	1755
146	301	17501146	315	1830
147	317	1825
148	320	1832
149	322	1829
150	324	1825
151	328	1830
152	329	1825
153	331	1821
154	332	1814
155	334	18101156	336	18051158	326	1726159	311	1637
1159	341	17951160	344	17941161	345	17891162	348	1791
164	339	1720
165	341	1717
165	356	1789
166	359	1791
167	361	1792
168	363	1785
169	365	1783
170	367	1779
171	369	1776
172	370	1769
173	372	1770
174	374	17617175	378	1773
176	380	1770
177	381	17617178	382	17517179	384	17518180	385	17418181	389	17418182	393	1755
183	394	17518184	396	1748
185	398	1742
186	399	17381187	401	17311188	404	1737
189	406	1730
190	407	17251191	409	17241192	410	17111194	402	1661195	387	1590
196	390	1591
197	393	15951198	396	1595
199	397	1590199	415	1662
200	417	1659
201	418	1654
202	420	1652
203	423	1651
204	426	1655
205	431	1661
206	432	1656
207	435	1657
208	439	1663
209	440	1657
210	443	1658
211	444	1652
212	445	1646
213	448	1647
214	449	1641
215	454	1649
216	456	1647
217	458	1644
218	459	1639
21219	473	16722220	476	16722221	477	16722222	479	16622223	481	16622224	484	1667
225	485	166226	475	1620
227	477	1615
228	478	1610
229	480	1607
230	481	1602
231	482	1598
232	484	1593
2234	472	1538
235	473	1533
236	475	1530
237	478	1531
238	479	1525
239	481	1523
240	484	1524
241	487	1526
242	488	1523
243	490	1519
244	491	1514
245	492	1510
246	495	1509
247	496	1505
248	497	15248	525	1586
249	527	1581
250	251	532	1581
252	533	1575
253	534	1569
254	535	1563255	530	1541
256	532	1539
257	535	1539
258	539	1542
259	540	1538
260	541	1532
261	542	1528
262	543	1524
263	545	1520
264	546	1516
265	552	1523
266	556	1526
267	558	1526
268	560	1523
269	563	1524
270	571	1537
271	573	1535
272	575	1531
273	576	1527
274	578	1524
275	579	1521
276	582	1519
277	584	1517
278	587	1518
279	589	1516
280	592	1515
281	594	1513
282	596	1510
283	597	1506
284	598	1502
285	600	1500
286	603	1499
287	605	1496
288	606	1491
289	608	1488
290	609	1485
291	610	1481
292	612	1478
293	614	1475
294	615	1472
295	617	1469
296	620	1469
297	623	1469
298	626	1468
299	628	1466
300	630	1463
301	632	1461
302	638	1468
303	640	1467
304	643	1465
305	645	1464
306	647	1461
307	649	1458
308	652	1458
309	654	1457
310	656	1455
311	662	1461
312	665	1460
313	666	1456
314	670	1457
315	673	1457
316	675	1454
317	676	1450
318	677	1446
319	679	1444
320	681	1441
321	683	1439
322	686	1438
323	689	1438
324	691	1436
325	693	1432
326	695	1431
327	698	1430
328	701	1430
329	704	1429
330	705	1426
331	708	1424
332	709	1421
333	711	1418
334	714	1419
335	716	1416
336	720	1418
337	722	1414
338	724	1411
339	725	1407
340	727	1405
341	730	1405
342	732	1402
343	733	1399
344	737	1399
345	739	1396
346	739	1392
347	740	1388
348	742	1385
349	745	1383
350	748	1383
351	749	1380
352	751	1378
353	753	1374
354	755	1372
355	757	1370
356	760	1369
357	761	1366
358	764	1364
359	766	1361
360	768	1360
361	769	1357
362	772	1355
363	773	1352
364	776	1351
365	778	1348
366	780	1346
367	782	1343
368	785	1342
369	787	1341
370	789	1338
371	791	1336
372	793	1334
373	795	1330
374	796	1327
375	797	1323
376	801	1323
377	802	1320
378	803	1317
379	805	1314
380	806	1310
381	808	1307
382	810	1305
383	812	1302
384	813	1299
385	814	1295
386	815	1292
387	818	1290
388	819	1286
389	820	1283
390	832	1297
391	835	1296
392	836	1292
393	838	1290
394	841	1288
395	842	1285
396	843	1281
397	845	1278
398	847	1276
399	850	1275
400	852	1273
401	855	1273
402	858	1271
403	861	1270
404	863	1268
405	865	1266
406	868	1265
407	871	1264
408	873	1261
409	875	1260
410	878	1259
411	880	1256
412	882	1254
413	885	1252
414	888	1251
415	890	1249
416	893	1249
417	894	1245
418	896	1242
419	897	1239
420	899	1236
421	901	1234
422	903	1232
423	908	1233
424	910	1231
425	912	1229
426	915	1228
427	917	1225
428	918	1222
429	920	1220
430	922	1218
431	925	1217
432	928	1215
433	930	1213
434	932	1210
435	936	1211
436	938	1209
437	942	1208
438	944	1206
439	946	1204
440	947	1201
441	949	1198
442	951	1196
443	953	1193
444	954	1190
445	956	1188
446	958	1186
447	959	1182
448	962	1180
449	963	1178
450	966	1176
451	967	1173
452	970	1171
453	971	1168
454	973	1166
455	975	1163
456	976	1159
457	977	1157
458	979	1154
459	981	1151
460	982	1148
461	983	1145
462	985	1142
463	987	1140
464	989	1137
465	991	1136
466	993	1134
467	996	1132
468	997	1129
469	999	1126
470	1000	1123
471	1003	1122
472	1006	1121
473	1008	1119
474	1010	1116
475	1012	1114
476	1013	1111
477	1017	1111
478	1019	1109
479	1023	1109
480	1025	1106
481	1027	1104
482	1029	1101
483	1031	1099
484	1033	1097
485	1035	1095
486	1036	1092
487	1038	1089
488	1040	1087
489	1042	1084
490	1044	1082
491	1047	1081
492	1050	1079
493	1051	1077
494	1054	1075
495	1056	1073
496	1057	1070
497	1060	1068
498	1061	1066
499	1065	1065
500	1067	1063
501	1068	1060
502	1071	1058
503	1073	1056
504	1075	1054
505	1078	1052
506	1079	1049
507	1081	1047
508	1084	1045
509	1086	1044
510	1089	1042
511	1091	1040
512	1092	1037
513	1094	1034
514	1096	1032
515	1097	1029
516	1099	1026
517	1100	1024
518	1102	1021
519	1104	1019
520	1105	1016
521	1107	1013
522	1109	1011
523	1110	1008
524	1113	1007
525	1115	1005
526	1117	1003
527	1119	1000
528	1122	999
529	1124	997
530	1127	995
531	1130	994
532	1131	991
533	1132	988
534	1133	985
535	1135	983
536	1138	981
537	1140	979
538	1142	977
539	1143	974
540	1145	972
541	1147	969
542	1149	967
543	1151	965
544	1154	963
545	1156	961
546	1158	959
547	1159	956
548	1162	954
549	1164	952
550	1171	954
551	1173	952
552	1176	950
